  [btad/03] Epoch 1/20 - total: 1.3798 | bce: 1.3703 | entropy_reg: 0.0095
  [btad/03] Epoch 2/20 - total: 1.3201 | bce: 1.3106 | entropy_reg: 0.0095
  [btad/03] Epoch 3/20 - total: 1.2375 | bce: 1.2280 | entropy_reg: 0.0095
  [btad/03] Epoch 4/20 - total: 1.1533 | bce: 1.1438 | entropy_reg: 0.0095
  [btad/03] Epoch 5/20 - total: 1.0916 | bce: 1.0821 | entropy_reg: 0.0095
  [btad/03] Epoch 6/20 - total: 1.0795 | bce: 1.0700 | entropy_reg: 0.0095
  [btad/03] Epoch 7/20 - total: 1.0378 | bce: 1.0283 | entropy_reg: 0.0095
  [btad/03] Epoch 8/20 - total: 0.9994 | bce: 0.9899 | entropy_reg: 0.0095
  [btad/03] Epoch 9/20 - total: 0.9497 | bce: 0.9402 | entropy_reg: 0.0095
  [btad/03] Epoch 10/20 - total: 0.9148 | bce: 0.9053 | entropy_reg: 0.0095
  [btad/03] Epoch 11/20 - total: 0.8998 | bce: 0.8903 | entropy_reg: 0.0095
  [btad/03] Epoch 12/20 - total: 0.8565 | bce: 0.8469 | entropy_reg: 0.0095
  [btad/03] Epoch 13/20 - total: 0.8700 | bce: 0.8605 | entropy_reg: 0.0095
  [btad/03] Epoch 14/20 - total: 0.8879 | bce: 0.8784 | entropy_reg: 0.0095
  [btad/03] Epoch 15/20 - total: 0.8573 | bce: 0.8477 | entropy_reg: 0.0095
  [btad/03] Epoch 16/20 - total: 0.6869 | bce: 0.6774 | entropy_reg: 0.0095
  [btad/03] Epoch 17/20 - total: 0.8517 | bce: 0.8422 | entropy_reg: 0.0095
  [btad/03] Epoch 18/20 - total: 0.5621 | bce: 0.5526 | entropy_reg: 0.0095
  [btad/03] Epoch 19/20 - total: 1.0925 | bce: 1.0830 | entropy_reg: 0.0095
  [btad/03] Epoch 20/20 - total: 0.8784 | bce: 0.8689 | entropy_reg: 0.0095
