  [mpdd/bracket_black] Epoch 1/20 - total: 1.3922 | bce: 1.3825 | entropy_reg: 0.0097
  [mpdd/bracket_black] Epoch 2/20 - total: 1.3840 | bce: 1.3744 | entropy_reg: 0.0096
  [mpdd/bracket_black] Epoch 3/20 - total: 1.3719 | bce: 1.3623 | entropy_reg: 0.0096
  [mpdd/bracket_black] Epoch 4/20 - total: 1.3555 | bce: 1.3459 | entropy_reg: 0.0096
  [mpdd/bracket_black] Epoch 5/20 - total: 1.3358 | bce: 1.3262 | entropy_reg: 0.0096
  [mpdd/bracket_black] Epoch 6/20 - total: 1.3141 | bce: 1.3045 | entropy_reg: 0.0096
  [mpdd/bracket_black] Epoch 7/20 - total: 1.2894 | bce: 1.2798 | entropy_reg: 0.0096
  [mpdd/bracket_black] Epoch 8/20 - total: 1.2640 | bce: 1.2543 | entropy_reg: 0.0096
  [mpdd/bracket_black] Epoch 9/20 - total: 1.2365 | bce: 1.2269 | entropy_reg: 0.0096
  [mpdd/bracket_black] Epoch 10/20 - total: 1.2079 | bce: 1.1982 | entropy_reg: 0.0097
  [mpdd/bracket_black] Epoch 11/20 - total: 1.1822 | bce: 1.1725 | entropy_reg: 0.0097
  [mpdd/bracket_black] Epoch 12/20 - total: 1.1517 | bce: 1.1420 | entropy_reg: 0.0097
  [mpdd/bracket_black] Epoch 13/20 - total: 1.1221 | bce: 1.1125 | entropy_reg: 0.0097
  [mpdd/bracket_black] Epoch 14/20 - total: 1.1033 | bce: 1.0936 | entropy_reg: 0.0097
  [mpdd/bracket_black] Epoch 15/20 - total: 1.0557 | bce: 1.0460 | entropy_reg: 0.0097
  [mpdd/bracket_black] Epoch 16/20 - total: 1.0605 | bce: 1.0508 | entropy_reg: 0.0097
  [mpdd/bracket_black] Epoch 17/20 - total: 1.0490 | bce: 1.0394 | entropy_reg: 0.0097
  [mpdd/bracket_black] Epoch 18/20 - total: 0.9741 | bce: 0.9644 | entropy_reg: 0.0097
  [mpdd/bracket_black] Epoch 19/20 - total: 1.0474 | bce: 1.0378 | entropy_reg: 0.0097
  [mpdd/bracket_black] Epoch 20/20 - total: 0.9705 | bce: 0.9608 | entropy_reg: 0.0097
