  [mvtec_ad/cable] Epoch 1/20 - total: 1.3931 | bce: 1.3835 | entropy_reg: 0.0096
  [mvtec_ad/cable] Epoch 2/20 - total: 1.3878 | bce: 1.3784 | entropy_reg: 0.0094
  [mvtec_ad/cable] Epoch 3/20 - total: 1.3803 | bce: 1.3709 | entropy_reg: 0.0094
  [mvtec_ad/cable] Epoch 4/20 - total: 1.3703 | bce: 1.3609 | entropy_reg: 0.0094
  [mvtec_ad/cable] Epoch 5/20 - total: 1.3578 | bce: 1.3483 | entropy_reg: 0.0095
  [mvtec_ad/cable] Epoch 6/20 - total: 1.3436 | bce: 1.3341 | entropy_reg: 0.0095
  [mvtec_ad/cable] Epoch 7/20 - total: 1.3274 | bce: 1.3179 | entropy_reg: 0.0095
  [mvtec_ad/cable] Epoch 8/20 - total: 1.3118 | bce: 1.3023 | entropy_reg: 0.0095
  [mvtec_ad/cable] Epoch 9/20 - total: 1.2949 | bce: 1.2854 | entropy_reg: 0.0095
  [mvtec_ad/cable] Epoch 10/20 - total: 1.2778 | bce: 1.2683 | entropy_reg: 0.0095
  [mvtec_ad/cable] Epoch 11/20 - total: 1.2579 | bce: 1.2484 | entropy_reg: 0.0095
  [mvtec_ad/cable] Epoch 12/20 - total: 1.2379 | bce: 1.2284 | entropy_reg: 0.0095
  [mvtec_ad/cable] Epoch 13/20 - total: 1.2206 | bce: 1.2110 | entropy_reg: 0.0095
  [mvtec_ad/cable] Epoch 14/20 - total: 1.1986 | bce: 1.1891 | entropy_reg: 0.0095
  [mvtec_ad/cable] Epoch 15/20 - total: 1.1799 | bce: 1.1704 | entropy_reg: 0.0095
  [mvtec_ad/cable] Epoch 16/20 - total: 1.1462 | bce: 1.1367 | entropy_reg: 0.0095
  [mvtec_ad/cable] Epoch 17/20 - total: 1.1821 | bce: 1.1725 | entropy_reg: 0.0095
  [mvtec_ad/cable] Epoch 18/20 - total: 1.1479 | bce: 1.1384 | entropy_reg: 0.0096
  [mvtec_ad/cable] Epoch 19/20 - total: 1.1017 | bce: 1.0921 | entropy_reg: 0.0096
  [mvtec_ad/cable] Epoch 20/20 - total: 1.1768 | bce: 1.1672 | entropy_reg: 0.0095
