  [mvtec_ad/screw] Epoch 1/20 - total: 1.3911 | bce: 1.3814 | entropy_reg: 0.0097
  [mvtec_ad/screw] Epoch 2/20 - total: 1.3803 | bce: 1.3708 | entropy_reg: 0.0095
  [mvtec_ad/screw] Epoch 3/20 - total: 1.3641 | bce: 1.3546 | entropy_reg: 0.0096
  [mvtec_ad/screw] Epoch 4/20 - total: 1.3430 | bce: 1.3334 | entropy_reg: 0.0096
  [mvtec_ad/screw] Epoch 5/20 - total: 1.3185 | bce: 1.3089 | entropy_reg: 0.0096
  [mvtec_ad/screw] Epoch 6/20 - total: 1.2900 | bce: 1.2804 | entropy_reg: 0.0096
  [mvtec_ad/screw] Epoch 7/20 - total: 1.2669 | bce: 1.2573 | entropy_reg: 0.0096
  [mvtec_ad/screw] Epoch 8/20 - total: 1.2301 | bce: 1.2204 | entropy_reg: 0.0096
  [mvtec_ad/screw] Epoch 9/20 - total: 1.1991 | bce: 1.1895 | entropy_reg: 0.0096
  [mvtec_ad/screw] Epoch 10/20 - total: 1.1728 | bce: 1.1632 | entropy_reg: 0.0096
  [mvtec_ad/screw] Epoch 11/20 - total: 1.1377 | bce: 1.1281 | entropy_reg: 0.0096
  [mvtec_ad/screw] Epoch 12/20 - total: 1.1049 | bce: 1.0953 | entropy_reg: 0.0096
  [mvtec_ad/screw] Epoch 13/20 - total: 1.0742 | bce: 1.0646 | entropy_reg: 0.0096
  [mvtec_ad/screw] Epoch 14/20 - total: 1.0394 | bce: 1.0298 | entropy_reg: 0.0096
  [mvtec_ad/screw] Epoch 15/20 - total: 1.0172 | bce: 1.0076 | entropy_reg: 0.0096
  [mvtec_ad/screw] Epoch 16/20 - total: 0.9677 | bce: 0.9581 | entropy_reg: 0.0096
  [mvtec_ad/screw] Epoch 17/20 - total: 0.9603 | bce: 0.9507 | entropy_reg: 0.0096
  [mvtec_ad/screw] Epoch 18/20 - total: 0.9264 | bce: 0.9167 | entropy_reg: 0.0096
  [mvtec_ad/screw] Epoch 19/20 - total: 0.8421 | bce: 0.8325 | entropy_reg: 0.0096
  [mvtec_ad/screw] Epoch 20/20 - total: 0.9704 | bce: 0.9608 | entropy_reg: 0.0096
