category,i_auroc,p_auroc,pro
bottle,99.84126984126985,97.19256592259981,88.9495785635251
cable,80.13493253373314,76.69900459790048,41.22249923637998
capsule,93.9369764658955,98.14324323523194,89.31266128380803
carpet,97.8330658105939,97.4079895988338,89.279509076278
grid,69.5906432748538,75.19723201914752,46.45737602349622
hazelnut,64.21428571428571,47.734307510913524,17.54542729823273
leather,95.99184782608695,95.5493855428645,85.81544126270087
metal_nut,95.79667644183772,91.35748224661991,72.11054180264561
pill,92.47135842880525,96.16755528639814,88.02961986472782
screw,56.09756097560976,50.95654616938584,23.925537526251354
tile,98.26839826839826,91.30075210416348,65.53532671321196
toothbrush,100.0,97.37578489218514,78.74289379806623
transistor,96.79166666666667,94.90444467241444,88.80287467440706
wood,98.94736842105263,90.63920058084639,82.4439096334571
zipper,94.90546218487394,96.09184907845429,87.10942133474752
