dataset,category,top_k,i_auroc,p_auroc,pro
mvtec_ad,bottle,5,100.0,97.00837863531777,87.00131052577711
mvtec_ad,bottle,10,100.0,97.00837863531777,87.00131052577711
mvtec_ad,bottle,20,100.0,97.00837863531777,87.00131052577711
mvtec_ad,bottle,50,100.0,97.00837863531777,87.00131052577711
mvtec_ad,bottle,100,100.0,97.00837863531777,87.00131052577711
mvtec_ad,grid,5,87.46867167919798,92.07881176154932,75.36917705332104
mvtec_ad,grid,10,87.1345029239766,92.07881176154932,75.36917705332104
mvtec_ad,grid,20,87.13450292397661,92.07881176154932,75.36917705332104
mvtec_ad,grid,50,87.3015873015873,92.07881176154932,75.36917705332104
mvtec_ad,grid,100,87.21804511278195,92.07881176154932,75.36917705332104
mvtec_ad,screw,5,58.24964131994261,83.09715390806191,61.24852388948644
mvtec_ad,screw,10,58.18815331010453,83.09715390806191,61.24852388948644
mvtec_ad,screw,20,58.02418528386964,83.09715390806191,61.24852388948644
mvtec_ad,screw,50,58.06517729042837,83.09715390806191,61.24852388948644
mvtec_ad,screw,100,57.81922525107605,83.09715390806191,61.24852388948644
mpdd,bracket_black,5,40.82446808510638,19.994342462203623,2.2311307241980547
mpdd,bracket_black,10,40.691489361702125,19.994342462203623,2.2311307241980547
mpdd,bracket_black,20,40.29255319148937,19.994342462203623,2.2311307241980547
mpdd,bracket_black,50,40.29255319148937,19.994342462203623,2.2311307241980547
mpdd,bracket_black,100,40.226063829787236,19.994342462203623,2.2311307241980547
wfdd,pink_flower,5,42.96875,74.54716956807637,37.31284415700801
wfdd,pink_flower,10,42.48046875,74.54716956807637,37.31284415700801
wfdd,pink_flower,20,42.08984375,74.54716956807637,37.31284415700801
wfdd,pink_flower,50,41.40625,74.54716956807637,37.31284415700801
wfdd,pink_flower,100,41.50390625,74.54716956807637,37.31284415700801
